run_id,date,time,rating,href,result,clock,url,rank_in_run,rank_in_result,rank_run
67a90eaf-c544-434b-b4a3-0c574e8920bd,2026-02-08,11:39:33,1008,/training/UN26e,good,0,https://lichess.org/training/UN26e,1,1937,90
67a90eaf-c544-434b-b4a3-0c574e8920bd,2026-02-08,11:39:33,1023,/training/EdqdA,good,5,https://lichess.org/training/EdqdA,2,1938,90
67a90eaf-c544-434b-b4a3-0c574e8920bd,2026-02-08,11:39:33,1028,/training/fIyCZ,good,4,https://lichess.org/training/fIyCZ,3,1939,90
67a90eaf-c544-434b-b4a3-0c574e8920bd,2026-02-08,11:39:33,1047,/training/aiTMV,good,5,https://lichess.org/training/aiTMV,4,1940,90
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1095,/training/y2m0d,good,4,https://lichess.org/training/y2m0d,7,1921,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1108,/training/JRG0M,good,3,https://lichess.org/training/JRG0M,8,1922,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1119,/training/guvp0,good,20,https://lichess.org/training/guvp0,9,1923,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1172,/training/54nK0,good,4,https://lichess.org/training/54nK0,12,1924,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1177,/training/3mTi6,good,6,https://lichess.org/training/3mTi6,13,1925,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1187,/training/yG869,good,6,https://lichess.org/training/yG869,14,1926,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1278,/training/frpkJ,good,4,https://lichess.org/training/frpkJ,15,1927,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1283,/training/mienE,good,5,https://lichess.org/training/mienE,16,1928,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1293,/training/4xWaw,good,3,https://lichess.org/training/4xWaw,17,1929,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1312,/training/6hsVm,good,9,https://lichess.org/training/6hsVm,19,1930,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1319,/training/fRW9j,good,10,https://lichess.org/training/fRW9j,20,1931,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1331,/training/E0M0W,good,13,https://lichess.org/training/E0M0W,21,1932,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1336,/training/UGOM9,good,9,https://lichess.org/training/UGOM9,22,1933,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1413,/training/RQxPT,good,10,https://lichess.org/training/RQxPT,23,1934,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1424,/training/vYywt,good,11,https://lichess.org/training/vYywt,24,1935,89
a1e04928-9bf8-461e-9bba-c9b3057a61c4,2026-02-08,11:35:43,1431,/training/HDQ16,good,10,https://lichess.org/training/HDQ16,25,1936,89
