game_id,puzzle_id,puzzle_rating,puzzle_initial_ply
Pz338q7w,ftynk,1046,35
UGLBDk7J,8b7E3,1079,61
6PTOa4Af,dBrJU,1086,57
o0rOWXIr,oy9XH,1164,41
a7ifS1fY,LeL5N,1189,23
YT7fh9Xz,HR7JY,1267,59
1FuACsza,nSxo9,1332,33
gFUllo65,ztBgA,1088,67
r8EFLIu3,AX94N,1156,29
HRIXa16O,C1KS2,1364,65
dnfnpft7,6nnC3,987,47
QiMpwEft,0oPTm,1086,45
4Nitxvma,E8VwJ,1046,31
iTbwV0iM,whblR,1284,17
3ExEno0o,qVltV,1285,57
aq5RthA9,jt4M8,1308,47
luzqk0mp,8G0PC,1369,53
zq4NAbWx,8MkYq,1077,40
ByrchEBf,ieMOI,1140,16
T2K3JrmA,3uy3f,1281,62
TfKy7ueq,5giFM,1323,70
tvjOcDfA,M0Kh8,1025,122
r1SsgdCD,6VuJR,1085,60
rNtUWCLA,ANx5W,1237,26
RXWXmhvc,tsPd1,1303,44
TAXKbgL5,Wh9FY,1299,74
utbKD62x,o81s7,1336,112
7fkIm03V,X1bHV,1377,72
Bnd1GPXJ,oFnLm,1305,86
g28YHTZ6,LZQW0,1336,58
mN0qpQkv,6qR58,1324,30
OAyr79E4,nmEef,1418,40
iguTARJY,brHnp,1197,76
Qtsx8sym,FbdLL,1255,80
RT58bMIR,1ctjw,1321,66
SzvcxAlc,sJhbQ,1389,42
TI12jvQz,f5Opw,1427,60
s4uKjlz2,Z4rFb,1441,22
B8gI4UHr,TYuXD,1312,47
YpuW08N1,HuF24,1446,75
UnNoHZFH,nBuXg,1479,175
rTJkfZsA,siI6G,1473,47
vHUQxG2e,gFO4L,1123,35
nx5Wxu11,g8Ic8,1154,53
9npRHMEG,XtWtw,1246,59
0ynTcD9s,0XwTf,1440,19
1rNRdljc,Ai9DZ,1306,55
YjjCbV0W,oMsOm,1032,34
yO9PyzV1,JLcaF,1436,66
NPlgUO7G,AGBUn,1467,60
sC7cHyWc,gz8dM,1035,67
GHxo7QY1,vcq3G,1162,61
SnDFxAGx,YU2Wg,1226,35
1QX09FW7,v5xgl,1311,63
vMUWYwNa,cX33L,1359,35
XTrCP8rc,naoFm,1363,45
jXPqeTEy,ELTAu,1092,43
hNA5ZY47,qv5kH,1218,35
2TGrt8AW,hRnG3,1300,33
r3H5EezN,KbnPZ,1476,71
mAvLMWrE,wDgll,1068,55
hqaWf7lB,14iPc,1106,99
W2s3pucV,trbcd,1192,55
F6Nl03bp,c3rcr,1297,97
yXXZYM1n,fM4rM,1349,39
1PVnLYUg,psEbh,1332,93
AWw5iIyS,z7B5K,1452,41
mPTGhBE1,HFlRr,1328,63
gNy0qCTc,OLDTv,1325,59
mKZItxpu,XY8mL,1475,55
rxL7gOHz,97T32,1313,55
mv4JtdFc,dqlAK,1388,74
ywL9bMCR,BoC8t,1360,32
Z2P8y3n8,nNEK3,1065,85
qc0Su8oP,i961h,1287,155
fQA5V8Ee,GicCM,1307,35
snHiH8Kt,ut3Nx,1274,25
Ol3maJOp,z0JJS,1112,67
UfBKWKAG,4tVLc,1272,67
bDqXsZHv,eTNFW,1253,81
hhNlLb33,OoKnx,1528,19
bRHQC30u,JHP5m,1285,74
l52PNCAD,acuvg,1312,40
si9YOo5s,5zGQW,1465,66
fVUBUit7,8Upjr,1401,80
1vJJes7t,A4pQS,1107,40
qhRoUjpU,RYMhj,1082,26
0YmQwMzs,ZxPfX,1430,86
yaYEsm4Y,8CVDO,1049,40
9HgMLmJA,Lchef,1177,62
PtMHaK0g,Ios7N,1246,74
eX2LnqZE,JNU8h,1302,26
72My14Ea,Xo51p,1295,98
SuMEbKWJ,voGVs,1300,41
1IIP19KV,7OnL5,1333,55
McX2n1Fh,sarqf,1426,23
cQZjJvMN,m7uhX,1539,57
IKoGtbQc,mvpQT,1506,71
zqv9bz1n,ttmoO,1012,33
qyxEBlWb,EGjwI,1270,27
T3JvE893,NuCPh,1355,43
xxuFIl1a,PQPVn,1333,57
LfjRFotz,oGU70,1335,118
sPNQ3y89,U8c9P,1442,30
kOL2D4xc,uAvYY,1473,58
VKvRlxSk,QKwwx,1448,42
1h7OvMtK,JshAJ,1270,60
bbD3ag8k,l2wEQ,1120,25
xsosKf0H,2flZY,1114,85
JDRDDZj2,AVYIc,1171,109
t9MEjqdk,m1r8o,1271,33
k9hPzNAD,hOYr5,1415,99
w3zGTxVn,LeDOP,1316,91
99s43uo5,enTCk,1519,49
sg6fQJA9,U87hs,1113,50
MEm2MRP6,kiWFn,1181,80
j88awUJk,Uqf5t,1157,46
Jlg4x3u2,Oy84e,1178,96
eZ59st28,jNYKk,1275,56
pSNbtWVD,hgYe4,1290,68
5K9xQfs8,QvUd7,1406,96
VSuofA0h,DEDe6,1099,66
5j6bEhXm,TxH0q,1211,74
0VSa8mD5,KwcI3,1183,84
IqUp7LEI,cToEa,1418,50
1fKORDC7,27Q3b,1402,35
9ICUeKKV,0naMA,1441,25
NKw20GQD,rQbM6,1347,96
LVGWRr2b,Ocxky,1167,58
