game_id,ply,url_ply,move,color,clock,eval,type_of_mistake,end_opening
"r3h9SiLI",28,"https://lichess.org/r3h9SiLI#28","Qd7","black",24875,375,,0
"r3h9SiLI",29,"https://lichess.org/r3h9SiLI#29","Raf1","white",24587,303,,0
"r3h9SiLI",30,"https://lichess.org/r3h9SiLI#30","f6","black",24299,372,,0
"r3h9SiLI",31,"https://lichess.org/r3h9SiLI#31","Ng4","white",24027,349,,0
"r3h9SiLI",32,"https://lichess.org/r3h9SiLI#32","O-O-O","black",24107,,"Blunder",0
"r3h9SiLI",33,"https://lichess.org/r3h9SiLI#33","Qxa6+","white",23467,,,0
"r3h9SiLI",34,"https://lichess.org/r3h9SiLI#34","Kb8","black",24019,,,0
"r3h9SiLI",35,"https://lichess.org/r3h9SiLI#35","Bd4","white",22499,479,"Blunder",0
"r3h9SiLI",36,"https://lichess.org/r3h9SiLI#36","c5","black",22203,478,,0
"r3h9SiLI",37,"https://lichess.org/r3h9SiLI#37","dxc6","white",22259,482,,0
"r3h9SiLI",38,"https://lichess.org/r3h9SiLI#38","Qxc6","black",22075,778,"Inaccuracy",0
"r3h9SiLI",39,"https://lichess.org/r3h9SiLI#39","Qa7+","white",20827,456,"Mistake",0
"r3h9SiLI",40,"https://lichess.org/r3h9SiLI#40","Kc8","black",21963,467,,0
"r3h9SiLI",41,"https://lichess.org/r3h9SiLI#41","Bxf6","white",18443,449,,0
"r3h9SiLI",42,"https://lichess.org/r3h9SiLI#42","gxf6","black",21795,690,"Inaccuracy",0
"r3h9SiLI",43,"https://lichess.org/r3h9SiLI#43","Rc4","white",18315,662,,0
"r3h9SiLI",44,"https://lichess.org/r3h9SiLI#44","d5","black",18667,,"Blunder",0
"r3h9SiLI",45,"https://lichess.org/r3h9SiLI#45","Rxc6+","white",18163,674,"Blunder",0
"r3h9SiLI",46,"https://lichess.org/r3h9SiLI#46","Nxc6","black",18667,695,,0
"r3h9SiLI",47,"https://lichess.org/r3h9SiLI#47","Qa6+","white",17539,511,"Inaccuracy",0
"r3h9SiLI",48,"https://lichess.org/r3h9SiLI#48","Kd7","black",18491,,"Blunder",0
