game_id,puzzle_id,puzzle_rating,puzzle_initial_ply,puzzle_url
LqM06L3l,EAiOp,1289,98,https://lichess.org/LqM06L3l#99
bEvacldn,9Xyir,1331,48,https://lichess.org/bEvacldn#49
XxUUtqBy,9W8gT,1339,30,https://lichess.org/XxUUtqBy#31
KbQ027ri,9TC18,1147,91,https://lichess.org/KbQ027ri#92
42iJAdkc,7nJWp,1169,81,https://lichess.org/42iJAdkc#82
hQsJvTSV,6coyY,1176,93,https://lichess.org/hQsJvTSV#94
58pASUAp,fSPU9,1295,51,https://lichess.org/58pASUAp#52
lQ3gp0HN,ybpNx,1298,25,https://lichess.org/lQ3gp0HN#26
oURSCAYX,hgihE,1183,61,https://lichess.org/oURSCAYX#62
hO8Gl0k9,t4pK1,1321,81,https://lichess.org/hO8Gl0k9#82
ExDd4YKm,PNF74,1440,33,https://lichess.org/ExDd4YKm#34
ghqE0sVq,Yay3T,1501,35,https://lichess.org/ghqE0sVq#36
Q7kO1vHD,YDe6H,1289,127,https://lichess.org/Q7kO1vHD#128
D5A7qzlg,XIWoz,1162,49,https://lichess.org/D5A7qzlg#50
vnxnqT5J,wzJ5q,1190,23,https://lichess.org/vnxnqT5J#24
JetqB8YS,rS8TD,1312,63,https://lichess.org/JetqB8YS#64
4xmNckDR,fDVxq,1330,63,https://lichess.org/4xmNckDR#64
ycPkCZHl,qBa52,1330,55,https://lichess.org/ycPkCZHl#56
0BwgtcvZ,o5dzz,1507,51,https://lichess.org/0BwgtcvZ#52
s7j3Tjqj,ShgWS,1279,29,https://lichess.org/s7j3Tjqj#30
hPEPPzb0,1oMmg,1288,131,https://lichess.org/hPEPPzb0#132
fw9P3vYJ,r1wHc,1308,113,https://lichess.org/fw9P3vYJ#114
K1GZ8yNg,2Xx3a,1496,43,https://lichess.org/K1GZ8yNg#44
luUmG6gq,PRGZr,1466,91,https://lichess.org/luUmG6gq#92
caZUXH8m,nfDAM,1408,66,https://lichess.org/caZUXH8m#67
LDoVhtJg,F6kmL,1409,74,https://lichess.org/LDoVhtJg#75
HHGRdNbn,El2ET,1330,34,https://lichess.org/HHGRdNbn#35
FsbkpF2c,Qjd3Y,1037,24,https://lichess.org/FsbkpF2c#25
D998FdlD,Z6qfW,1104,22,https://lichess.org/D998FdlD#23
moNFX0vY,jMFuS,1086,38,https://lichess.org/moNFX0vY#39
7Vt5Ws6d,5qePR,1223,84,https://lichess.org/7Vt5Ws6d#85
au0dTArj,pB6vH,1318,124,https://lichess.org/au0dTArj#125
Bho6PfL0,SLUpd,1333,108,https://lichess.org/Bho6PfL0#109
abRu3wEb,TK8qg,1439,68,https://lichess.org/abRu3wEb#69
9jFc4jiw,n3dcM,1441,50,https://lichess.org/9jFc4jiw#51
4bNzXvFs,HQ7EX,1041,92,https://lichess.org/4bNzXvFs#93
dC4bTsEB,TlJUs,1305,56,https://lichess.org/dC4bTsEB#57
I4asRtgr,lzouJ,1232,30,https://lichess.org/I4asRtgr#31
51rLFFb4,aFfxc,1445,18,https://lichess.org/51rLFFb4#19
arYYaR0K,PCJKF,1459,94,https://lichess.org/arYYaR0K#95
VYbXREdV,khABj,1473,90,https://lichess.org/VYbXREdV#91
du8GhZUk,klP6b,1190,83,https://lichess.org/du8GhZUk#84
UglFYxEe,LlENQ,1291,35,https://lichess.org/UglFYxEe#36
mcPhB2mt,8TRLf,1319,33,https://lichess.org/mcPhB2mt#34
5I1faWwZ,CgBgP,1094,11,https://lichess.org/5I1faWwZ#12
v63rSFmy,eW1R7,1324,61,https://lichess.org/v63rSFmy#62
a14dOB9j,QjBoE,1526,21,https://lichess.org/a14dOB9j#22
OdpdNqw8,9RBOy,1463,69,https://lichess.org/OdpdNqw8#70
433FyTyo,pI2PB,1109,57,https://lichess.org/433FyTyo#58
ocTeqiJz,b3pFK,1284,133,https://lichess.org/ocTeqiJz#134
akL4xbe4,W575D,1378,43,https://lichess.org/akL4xbe4#44
u2HD8pLb,noZE0,1340,51,https://lichess.org/u2HD8pLb#52
chvG2bDb,n3zcM,1290,51,https://lichess.org/chvG2bDb#52
