url,date,rating,clock,rank_run
https://lichess.org/training/RrmL9,2026-01-23,1295,13,40
https://lichess.org/training/J0De3,2026-02-27,1438,1,128
https://lichess.org/training/pARQK,2026-02-03,1293,7,75
https://lichess.org/training/9jzNn,2026-01-18,1147,16,13
https://lichess.org/training/pwzFR,2026-01-30,1062,15,63
https://lichess.org/training/nVbnb,2026-02-07,1094,10,87
https://lichess.org/training/CSLNW,2026-02-06,1334,27,81
https://lichess.org/training/UQaXj,2026-02-17,1199,9,110
https://lichess.org/training/VbIOn,2026-01-21,1316,5,30
https://lichess.org/training/G0ulI,2026-02-08,1441,5,89
